sale_date,store_id,sales_channel,total_transactions,total_units_sold,total_revenue,total_gross_profit,avg_order_value
2026-01-04,STR-112,Mobile App,1,2,20102.23,5626.55,20102.23
2026-01-04,STR-112,Online,1,1,16896.59,2814.07,16896.59
2026-01-04,STR-113,In-Store,1,2,21859.63,7731.77,21859.63
2026-01-04,STR-114,Online,1,3,5858.15,1925.36,5858.15
2026-01-05,STR-101,In-Store,1,4,32879.07,3925.43,32879.07
2026-01-05,STR-101,Online,1,1,10702.04,1588.57,10702.04
2026-01-05,STR-103,Mobile App,1,1,5889.45,1621.37,5889.45
2026-01-05,STR-108,Online,1,5,81707.55,23780.9,81707.55
2026-01-05,STR-109,Mobile App,1,1,2908.93,808.05,2908.93
2026-01-05,STR-110,Online,1,5,77407.16,19480.51,77407.16
2026-01-05,STR-111,Mobile App,1,2,33793.18,5628.14,33793.18
2026-01-05,STR-112,In-Store,1,1,13710.77,3888.77,13710.77
2026-01-05,STR-112,Online,1,4,8058.62,1611.54,8058.62
2026-01-05,STR-113,Mobile App,1,3,40274.2,15588.19,40274.2
2026-01-05,STR-113,Online,1,2,3452.8,568.02,3452.8
2026-01-05,STR-114,Mobile App,1,1,9568.8,3844.87,9568.8
2026-01-06,STR-100,Mobile App,1,3,68262.29,23179.22,68262.29
2026-01-06,STR-101,Online,1,1,9568.8,3844.87,9568.8
2026-01-06,STR-103,In-Store,1,1,10477.07,2435.27,10477.07
2026-01-06,STR-104,Online,1,5,63488.24,5382.34,63488.24
2026-01-06,STR-105,Mobile App,1,2,16439.54,1962.72,16439.54
2026-01-06,STR-107,Online,1,3,59337.68,16098.65,59337.68
2026-01-06,STR-108,Mobile App,1,5,44499.28,7991.83,44499.28
2026-01-06,STR-109,Online,1,4,69004.22,17882.3,69004.22
2026-01-06,STR-113,Mobile App,1,4,54625.46,14422.38,54625.46
2026-01-07,STR-100,Online,1,2,19320.52,7976.36,19320.52
2026-01-07,STR-104,In-Store,2,3,43679.36,12446.32,21839.68
2026-01-07,STR-106,Mobile App,1,1,19260.73,4706.95,19260.73
2026-01-07,STR-108,Mobile App,1,3,33994.7,6654.29,33994.7
2026-01-07,STR-109,Online,1,5,39815.15,3307.7,39815.15
2026-01-07,STR-110,Online,1,5,62953.15,17385.8,62953.15
2026-01-07,STR-112,Online,1,3,49521.58,4013.68,49521.58
2026-01-07,STR-113,In-Store,1,4,7443.72,2854.76,7443.72
2026-01-07,STR-113,Mobile App,2,6,71183.89,20640.81,35591.94
2026-01-07,STR-113,Online,2,6,55974.68,6131.15,27987.34
2026-01-07,STR-114,In-Store,1,1,14652.15,5562.23,14652.15
2026-01-08,STR-101,Online,1,2,28166.58,6046.74,28166.58
2026-01-08,STR-107,Mobile App,1,3,8605.95,2195.16,8605.95
2026-01-08,STR-109,Mobile App,2,7,78786.6,16534.2,39393.3
2026-01-08,STR-112,Online,1,3,60823.35,17162.01,60823.35
2026-01-09,STR-100,In-Store,1,3,14849.24,6002.24,14849.24
2026-01-09,STR-102,Mobile App,1,4,70155.57,9478.37,70155.57
2026-01-09,STR-103,Mobile App,1,2,13278.78,4798.2,13278.78
2026-01-09,STR-103,Online,1,5,86166.41,13397.51,86166.41
2026-01-09,STR-104,Online,1,3,41132.31,11666.31,41132.31
2026-01-09,STR-105,In-Store,1,3,49968.58,6729.55,49968.58
2026-01-09,STR-105,Mobile App,1,2,38946.1,7932.2,38946.1
2026-01-09,STR-106,In-Store,1,4,8270.8,3681.84,8270.8
2026-01-09,STR-106,Online,1,4,6577.57,1333.85,6577.57
2026-01-09,STR-110,In-Store,2,7,7004.28,2231.61,3502.14
2026-01-09,STR-113,Mobile App,1,4,4224.8,1497.56,4224.8
2026-01-09,STR-114,Online,1,5,48301.3,19940.9,48301.3
2026-01-10,STR-100,In-Store,1,1,2725.22,588.29,2725.22
2026-01-10,STR-103,In-Store,2,8,41563.15,12427.75,20781.58
2026-01-10,STR-104,Online,2,10,91986.04,22044.29,45993.02
2026-01-10,STR-107,In-Store,1,3,68262.29,23179.22,68262.29
2026-01-10,STR-108,In-Store,1,2,37448.55,4789.75,37448.55
2026-01-10,STR-113,In-Store,1,4,50362.52,13908.64,50362.52
2026-01-10,STR-114,In-Store,1,2,40717.86,10662.48,40717.86
2026-01-11,STR-101,Online,1,2,18408.11,4280.25,18408.11
2026-01-11,STR-102,Mobile App,1,3,32905.85,3439.85,32905.85
2026-01-11,STR-102,Online,1,2,15310.08,3862.22,15310.08
2026-01-11,STR-103,Mobile App,1,5,37473.08,965.63,37473.08
2026-01-11,STR-103,Online,1,3,6043.97,1208.66,6043.97
2026-01-11,STR-104,Mobile App,2,4,73509.2,27278.89,36754.6
2026-01-11,STR-107,In-Store,2,5,37984.66,7315.71,18992.33
2026-01-11,STR-107,Mobile App,2,6,13028.2,2379.36,6514.1
2026-01-11,STR-107,Online,1,4,72988.02,14772.9,72988.02
2026-01-11,STR-108,Online,1,5,74173.12,8748.62,74173.12
2026-01-11,STR-111,In-Store,1,3,33700.79,11987.27,33700.79
2026-01-11,STR-112,Online,1,4,4447.16,1719.92,4447.16
2026-01-11,STR-113,In-Store,1,3,54097.06,9883.42,54097.06
2026-01-11,STR-114,In-Store,1,5,14343.25,3658.6,14343.25
2026-01-11,STR-114,Online,1,2,4029.31,805.77,4029.31
2026-01-12,STR-100,Mobile App,1,3,57284.26,3476.71,57284.26
2026-01-12,STR-100,Online,1,3,6203.1,2761.38,6203.1
2026-01-12,STR-101,Mobile App,1,2,33447.81,11327.97,33447.81
2026-01-12,STR-101,Online,1,4,42808.14,6354.26,42808.14
2026-01-12,STR-102,In-Store,1,3,63362.22,21114.66,63362.22
2026-01-12,STR-103,In-Store,1,3,50066.86,10812.16,50066.86
2026-01-12,STR-104,Online,2,2,10660.87,4306.98,5330.44
2026-01-12,STR-109,Mobile App,1,3,18639.56,3372.5,18639.56
2026-01-12,STR-110,In-Store,1,2,28436.65,11754.51,28436.65
2026-01-12,STR-113,In-Store,1,5,54843.08,5733.08,54843.08
2026-01-13,STR-105,Mobile App,1,5,88114.24,6467.24,88114.24
2026-01-13,STR-106,In-Store,2,4,77102.5,10461.45,38551.25
2026-01-13,STR-106,Online,2,7,27822.73,8330.08,13911.36
2026-01-13,STR-107,Online,1,2,4029.31,805.77,4029.31
2026-01-13,STR-108,In-Store,2,7,86925.58,11975.75,43462.79
2026-01-13,STR-109,In-Store,1,5,9304.65,3568.45,9304.65
2026-01-13,STR-110,Online,1,4,37473.08,8267.12,37473.08
2026-01-13,STR-111,Online,1,1,15423.32,6333.4,15423.32
2026-01-13,STR-113,Mobile App,1,2,23922.2,5695.26,23922.2
2026-01-13,STR-114,In-Store,1,3,35883.3,8542.89,35883.3
2026-01-13,STR-114,Mobile App,1,2,15310.08,3862.22,15310.08
2026-01-14,STR-101,In-Store,1,1,11505.07,4441.14,11505.07
2026-01-14,STR-101,Online,1,5,73409.1,9167.0,73409.1
2026-01-14,STR-103,Online,1,1,5895.97,1148.3,5895.97
2026-01-14,STR-104,Mobile App,1,4,79078.25,11749.09,79078.25
2026-01-14,STR-104,Online,1,1,2042.86,844.61,2042.86
2026-01-14,STR-105,Mobile App,2,9,84184.5,17376.58,42092.25
2026-01-14,STR-107,Online,1,3,41283.82,6527.83,41283.82
2026-01-14,STR-108,In-Store,2,7,117766.41,28798.92,58883.2
2026-01-14,STR-110,Online,1,3,28991.78,2520.02,28991.78
2026-01-14,STR-111,Mobile App,1,4,7399.76,2156.04,7399.76
2026-01-14,STR-112,In-Store,1,1,16588.32,2991.69,16588.32
2026-01-14,STR-114,In-Store,1,3,52529.69,11739.8,52529.69
2026-01-15,STR-100,Mobile App,1,2,11778.9,3242.74,11778.9
2026-01-15,STR-100,Online,1,1,17952.63,3870.11,17952.63
2026-01-15,STR-104,Mobile App,2,8,126541.4,28866.08,63270.7
2026-01-15,STR-106,In-Store,1,4,65170.66,14048.74,65170.66
2026-01-15,STR-107,Mobile App,1,2,39558.46,10732.44,39558.46
2026-01-15,STR-108,In-Store,1,3,16738.43,3934.19,16738.43
2026-01-15,STR-111,In-Store,1,4,46020.28,17764.56,46020.28
2026-01-15,STR-112,Mobile App,1,5,96303.64,23534.74,96303.64
2026-01-15,STR-113,Mobile App,1,4,81152.7,9409.3,81152.7
2026-01-16,STR-100,In-Store,1,1,22540.44,7802.56,22540.44
2026-01-16,STR-103,In-Store,1,5,31213.94,7475.59,31213.94
2026-01-16,STR-103,Online,2,2,19456.97,3723.41,9728.48
2026-01-16,STR-105,Mobile App,1,2,27421.54,7777.54,27421.54
2026-01-16,STR-105,Online,1,1,21907.18,6400.23,21907.18
2026-01-16,STR-110,In-Store,2,6,44086.41,10725.85,22043.2
2026-01-16,STR-112,Online,1,2,46812.03,10016.63,46812.03
2026-01-16,STR-113,In-Store,1,1,11331.57,2218.1,11331.57
2026-01-16,STR-113,Online,1,2,6464.28,2262.52,6464.28
2026-01-16,STR-114,Mobile App,1,3,42854.56,7991.02,42854.56
2026-01-17,STR-101,Mobile App,1,2,5831.55,1025.51,5831.55
2026-01-17,STR-101,Online,1,4,52385.36,20218.16,52385.36
2026-01-17,STR-102,Online,1,4,57735.04,6401.04,57735.04
2026-01-17,STR-103,Mobile App,1,4,88381.58,21052.42,88381.58
2026-01-17,STR-104,Mobile App,2,7,76255.75,14276.54,38127.88
2026-01-17,STR-104,Online,1,4,93624.06,20033.26,93624.06
2026-01-17,STR-107,Mobile App,1,3,6166.47,2233.68,6166.47
2026-01-17,STR-109,In-Store,1,5,41056.1,12695.7,41056.1
2026-01-17,STR-109,Online,1,1,8431.44,1129.95,8431.44
2026-01-17,STR-111,In-Store,1,3,17687.9,3444.89,17687.9
2026-01-17,STR-112,In-Store,1,2,32475.96,6808.96,32475.96
2026-01-17,STR-113,Mobile App,1,4,62667.0,8280.48,62667.0
2026-01-18,STR-100,Mobile App,1,2,41380.23,10366.33,41380.23
2026-01-18,STR-101,Mobile App,2,3,48188.12,7798.75,24094.06
2026-01-18,STR-102,In-Store,1,3,38693.04,8540.73,38693.04
2026-01-18,STR-102,Mobile App,2,6,57599.07,12125.35,28799.54
2026-01-18,STR-103,Mobile App,1,2,35232.23,9062.43,35232.23
2026-01-18,STR-104,In-Store,2,9,50848.98,19031.66,25424.49
2026-01-18,STR-104,Online,1,1,17952.63,3870.11,17952.63
2026-01-18,STR-107,In-Store,1,3,18598.26,5794.02,18598.26
2026-01-18,STR-109,Mobile App,1,5,38275.2,9655.55,38275.2
2026-01-18,STR-111,Mobile App,1,2,35394.41,6568.39,35394.41
2026-01-18,STR-111,Online,1,1,16409.09,3560.67,16409.09
2026-01-18,STR-112,Online,1,1,2908.93,808.05,2908.93
2026-01-18,STR-113,In-Store,1,5,8152.44,940.49,8152.44
2026-01-19,STR-101,In-Store,1,2,16422.44,5078.28,16422.44
2026-01-19,STR-101,Mobile App,1,2,26050.46,6406.46,26050.46
2026-01-19,STR-103,Mobile App,1,5,7672.88,460.93,7672.88
2026-01-19,STR-103,Online,1,3,49968.58,6729.55,49968.58
2026-01-19,STR-105,In-Store,1,4,67586.37,11256.29,67586.37
2026-01-19,STR-106,In-Store,1,3,44899.98,19876.77,44899.98
2026-01-19,STR-108,In-Store,1,1,7309.63,2220.61,7309.63
2026-01-19,STR-109,In-Store,1,1,1654.16,506.92,1654.16
2026-01-19,STR-110,In-Store,1,3,10934.16,3725.1,10934.16
2026-01-19,STR-110,Mobile App,1,5,86166.41,13397.51,86166.41
2026-01-19,STR-111,In-Store,1,4,13849.94,4237.86,13849.94
2026-01-19,STR-111,Mobile App,1,1,1860.93,713.69,1860.93
2026-01-19,STR-114,Mobile App,1,3,6362.07,1526.76,6362.07
2026-01-20,STR-100,Mobile App,1,3,53857.89,11610.33,53857.89
2026-01-20,STR-102,Online,1,4,41418.25,13162.53,41418.25
2026-01-20,STR-103,Mobile App,1,3,40473.75,5610.21,40473.75
2026-01-20,STR-104,Mobile App,1,2,8857.44,2959.44,8857.44
2026-01-20,STR-104,Online,1,5,9139.12,3147.87,9139.12
2026-01-20,STR-105,In-Store,1,4,59665.48,26750.8,59665.48
2026-01-20,STR-105,Mobile App,2,5,62939.89,13539.12,31469.94
2026-01-20,STR-108,Mobile App,1,3,15630.78,6783.78,15630.78
2026-01-20,STR-112,In-Store,2,4,30802.7,10035.79,15401.35
2026-01-21,STR-100,In-Store,1,3,16773.19,4052.32,16773.19
2026-01-21,STR-101,In-Store,1,4,47844.39,11390.51,47844.39
2026-01-21,STR-102,Online,1,1,15481.43,3896.1,15481.43
2026-01-21,STR-103,In-Store,1,4,56333.15,12093.47,56333.15
2026-01-21,STR-103,Mobile App,1,1,2438.35,301.42,2438.35
2026-01-21,STR-103,Online,1,2,3393.1,169.56,3393.1
2026-01-21,STR-107,Mobile App,1,1,20274.45,5720.67,20274.45
2026-01-21,STR-107,Online,1,1,14284.85,2663.67,14284.85
2026-01-21,STR-108,In-Store,1,2,39420.66,2625.26,39420.66
2026-01-21,STR-108,Mobile App,1,4,7741.37,2948.37,7741.37
2026-01-21,STR-109,In-Store,1,1,12697.65,1076.47,12697.65
2026-01-21,STR-111,Mobile App,1,2,27761.98,9582.14,27761.98
2026-01-21,STR-113,Mobile App,1,2,26849.47,10392.13,26849.47
2026-01-21,STR-114,Mobile App,1,2,4876.7,602.84,4876.7
2026-01-22,STR-100,In-Store,2,4,73487.49,22035.44,36743.75
2026-01-22,STR-101,In-Store,1,5,9012.93,954.08,9012.93
2026-01-22,STR-101,Online,1,5,86363.65,22121.55,86363.65
2026-01-22,STR-102,Online,1,3,59477.11,10488.91,59477.11
2026-01-22,STR-106,Mobile App,3,7,109291.98,32587.58,36430.66
2026-01-22,STR-107,Mobile App,1,5,69090.92,4848.82,69090.92
2026-01-22,STR-107,Online,1,5,79218.5,23918.9,79218.5
2026-01-22,STR-108,Mobile App,1,1,18606.65,1774.36,18606.65
2026-01-22,STR-108,Online,1,5,107407.98,17728.73,107407.98
2026-01-22,STR-110,In-Store,2,3,29548.44,12184.49,14774.22
2026-01-22,STR-111,In-Store,1,1,17952.63,3870.11,17952.63
2026-01-22,STR-111,Mobile App,1,4,83280.96,25628.92,83280.96
2026-01-23,STR-102,Mobile App,1,4,60694.96,20491.88,60694.96
2026-01-23,STR-103,Online,1,3,38164.98,13141.77,38164.98
2026-01-23,STR-105,Online,2,5,28243.77,6618.48,14121.88
2026-01-23,STR-106,Online,1,3,46269.96,19000.2,46269.96
2026-01-23,STR-107,Online,1,1,20820.24,6407.23,20820.24
2026-01-23,STR-109,Mobile App,1,5,36548.15,11103.05,36548.15
2026-01-23,STR-110,Online,1,2,11986.02,2966.64,11986.02
2026-01-24,STR-101,Mobile App,2,5,107363.35,36826.5,53681.68
2026-01-24,STR-104,Online,1,4,45903.66,10607.98,45903.66
2026-01-24,STR-105,In-Store,1,3,62070.34,15549.49,62070.34
2026-01-24,STR-105,Online,1,2,40129.41,11964.37,40129.41
2026-01-24,STR-106,In-Store,1,1,22540.44,7802.56,22540.44
2026-01-24,STR-106,Online,1,3,5241.5,1308.71,5241.5
2026-01-24,STR-107,Mobile App,1,4,82535.96,21858.76,82535.96
2026-01-24,STR-107,Online,1,2,32585.33,7024.37,32585.33
2026-01-24,STR-108,Mobile App,1,5,68806.36,10879.71,68806.36
2026-01-24,STR-109,Mobile App,1,4,83280.96,25628.92,83280.96
2026-01-24,STR-109,Online,1,1,1964.31,817.07,1964.31
2026-01-24,STR-110,In-Store,1,3,42511.65,17825.64,42511.65
2026-01-24,STR-111,In-Store,1,4,32844.88,10156.56,32844.88
2026-01-24,STR-112,In-Store,1,4,19798.99,8002.99,19798.99
2026-01-24,STR-113,Online,1,4,41418.25,13162.53,41418.25
2026-01-25,STR-102,Mobile App,2,7,90277.39,14886.63,45138.7
2026-01-25,STR-102,Online,1,1,16656.19,2243.18,16656.19
2026-01-25,STR-103,In-Store,1,2,28867.52,3200.52,28867.52
2026-01-25,STR-103,Online,1,5,10214.3,4223.05,10214.3
2026-01-25,STR-104,Mobile App,1,2,44348.24,7552.84,44348.24
2026-01-25,STR-105,In-Store,1,3,55711.77,10203.87,55711.77
2026-01-25,STR-107,Mobile App,1,5,86255.28,22352.88,86255.28
2026-01-25,STR-107,Online,1,2,3644.62,759.84,3644.62
2026-01-25,STR-110,Online,1,5,82535.96,6689.46,82535.96
2026-01-25,STR-111,In-Store,1,3,19736.0,4468.94,19736.0
2026-01-25,STR-112,Mobile App,1,5,45886.24,17525.84,45886.24
2026-01-26,STR-100,Mobile App,1,1,10968.62,1146.62,10968.62
2026-01-26,STR-102,Mobile App,1,4,92496.98,30469.18,92496.98
2026-01-26,STR-108,Mobile App,1,1,2055.49,744.56,2055.49
2026-01-26,STR-109,In-Store,1,4,19798.99,8002.99,19798.99
2026-01-26,STR-109,Online,1,4,88696.48,15105.68,88696.48
2026-01-26,STR-111,In-Store,1,1,11131.89,3090.09,11131.89
2026-01-26,STR-111,Online,1,2,48682.62,17668.72,48682.62
2026-01-26,STR-113,In-Store,1,1,13710.77,3888.77,13710.77
2026-01-26,STR-114,In-Store,1,1,1964.31,817.07,1964.31
2026-01-26,STR-114,Online,1,2,40129.41,11964.37,40129.41
2026-01-27,STR-102,In-Store,1,5,91235.02,18466.12,91235.02
2026-01-27,STR-102,Mobile App,2,9,102276.75,27420.99,51138.38
2026-01-27,STR-102,Online,1,1,19602.29,4432.99,19602.29
2026-01-27,STR-103,In-Store,2,5,93955.76,19501.29,46977.88
2026-01-27,STR-104,In-Store,1,5,9111.54,1899.59,9111.54
2026-01-27,STR-107,In-Store,1,5,79360.3,21254.4,79360.3
2026-01-27,STR-108,In-Store,1,5,48804.87,12612.82,48804.87
2026-01-27,STR-108,Mobile App,1,5,95043.33,24630.73,95043.33
2026-01-27,STR-109,Mobile App,1,2,3644.62,759.84,3644.62
2026-01-27,STR-112,In-Store,1,3,13286.16,4439.16,13286.16
2026-01-27,STR-112,Mobile App,1,3,48658.68,4997.34,48658.68
2026-01-27,STR-113,Mobile App,1,2,17467.01,2990.19,17467.01
2026-01-27,STR-114,In-Store,1,4,14578.88,4966.8,14578.88
2026-01-27,STR-114,Online,1,5,8482.76,423.91,8482.76
2026-01-28,STR-100,Mobile App,1,2,6196.02,1389.98,6196.02
2026-01-28,STR-102,In-Store,1,4,50790.59,4305.87,50790.59
2026-01-28,STR-109,In-Store,1,2,27636.37,1939.53,27636.37
2026-01-28,STR-109,Online,1,1,10072.5,959.03,10072.5
2026-01-28,STR-110,In-Store,1,5,101440.87,11761.62,101440.87
2026-01-28,STR-110,Mobile App,2,4,42375.36,12578.64,21187.68
2026-01-28,STR-112,Mobile App,1,5,101372.25,28603.35,101372.25
2026-01-28,STR-113,Mobile App,1,1,18606.65,1774.36,18606.65
2026-01-29,STR-100,Mobile App,1,5,48896.55,13576.9,48896.55
2026-01-29,STR-102,Mobile App,1,2,23922.2,5695.26,23922.2
2026-01-29,STR-103,Online,1,4,85653.67,26702.15,85653.67
2026-01-29,STR-106,In-Store,1,1,6589.61,1841.94,6589.61
2026-01-29,STR-107,Mobile App,1,2,31687.4,9567.56,31687.4
2026-01-29,STR-109,In-Store,1,2,1890.04,526.42,1890.04
2026-01-29,STR-114,Mobile App,1,1,20932.48,4100.19,20932.48
2026-01-29,STR-114,Online,1,4,10327.14,1779.42,10327.14
2026-01-30,STR-103,Mobile App,1,4,59338.5,6998.9,59338.5
2026-01-30,STR-105,Mobile App,1,3,34427.74,7955.98,34427.74
2026-01-30,STR-108,In-Store,2,5,93972.13,20650.93,46986.06
2026-01-30,STR-110,In-Store,1,3,51604.77,16848.78,51604.77
2026-01-30,STR-110,Online,1,2,3836.44,951.66,3836.44
2026-01-30,STR-111,In-Store,2,7,43416.11,12186.6,21708.06
2026-01-30,STR-112,Mobile App,1,2,14989.23,386.25,14989.23
2026-01-30,STR-113,Online,1,3,18639.56,3372.5,18639.56
2026-01-31,STR-100,Online,2,5,75847.79,24104.89,37923.9
2026-01-31,STR-101,Mobile App,1,2,20709.13,6581.27,20709.13
2026-01-31,STR-102,In-Store,1,5,104635.66,22988.66,104635.66
2026-01-31,STR-103,Mobile App,1,1,5940.51,1700.22,5940.51
2026-01-31,STR-103,Online,1,5,9543.1,1484.25,9543.1
2026-01-31,STR-104,Online,1,5,62207.62,21998.62,62207.62
2026-01-31,STR-105,Online,1,1,2438.35,301.42,2438.35
2026-01-31,STR-106,Mobile App,1,3,5160.91,1566.16,5160.91
2026-01-31,STR-106,Online,1,5,109535.9,32001.15,109535.9
2026-01-31,STR-107,Mobile App,4,13,98693.46,29215.8,24673.36
2026-01-31,STR-109,Mobile App,1,2,34466.56,5359.0,34466.56
2026-01-31,STR-109,Online,1,3,35799.29,11113.28,35799.29
2026-01-31,STR-110,Mobile App,1,2,34545.46,8848.62,34545.46
2026-01-31,STR-110,Online,1,4,85926.38,14182.98,85926.38
2026-01-31,STR-112,Mobile App,2,4,78802.23,23977.87,39401.12
2026-01-31,STR-113,Online,1,5,72168.8,8001.3,72168.8
2026-01-31,STR-114,In-Store,1,5,81189.9,17022.4,81189.9
2026-02-01,STR-100,Mobile App,2,5,16185.88,1592.4,8092.94
2026-02-01,STR-102,In-Store,1,1,4566.85,771.67,4566.85
2026-02-01,STR-104,In-Store,1,4,76645.38,16534.62,76645.38
2026-02-01,STR-104,Online,1,3,56172.83,7184.63,56172.83
2026-02-01,STR-105,Online,1,1,13710.77,3888.77,13710.77
2026-02-01,STR-106,Online,1,3,62797.44,12300.57,62797.44
2026-02-01,STR-109,In-Store,1,2,20102.23,5626.55,20102.23
2026-02-01,STR-109,Mobile App,2,6,92709.25,27286.1,46354.62
2026-02-01,STR-110,Online,1,5,69404.94,23955.34,69404.94
2026-02-01,STR-112,Online,1,1,12138.99,2088.22,12138.99
2026-02-02,STR-103,Mobile App,1,3,3001.83,956.4,3001.83
2026-02-02,STR-104,Mobile App,1,3,24633.66,7617.42,24633.66
2026-02-02,STR-106,In-Store,1,5,48896.55,13576.9,48896.55
2026-02-02,STR-106,Online,1,1,2868.65,731.72,2868.65
2026-02-02,STR-108,In-Store,1,1,23951.68,8923.99,23951.68
2026-02-02,STR-108,Mobile App,1,2,19320.52,7976.36,19320.52
2026-02-02,STR-108,Online,1,3,62460.72,19221.69,62460.72
2026-02-02,STR-109,In-Store,1,2,11778.9,3242.74,11778.9
2026-02-02,STR-109,Online,1,5,77116.6,31667.0,77116.6
2026-02-02,STR-110,In-Store,1,1,17952.63,3870.11,17952.63
2026-02-02,STR-110,Mobile App,1,4,40290.02,3836.14,40290.02
2026-02-02,STR-111,Mobile App,1,1,14681.82,1833.4,14681.82
2026-02-02,STR-112,Mobile App,1,5,38275.2,9655.55,38275.2
2026-02-02,STR-113,In-Store,1,4,69090.92,17697.24,69090.92
2026-02-03,STR-102,Mobile App,1,3,24659.3,2944.07,24659.3
2026-02-03,STR-103,Mobile App,1,1,17140.09,4306.59,17140.09
2026-02-03,STR-104,Mobile App,1,3,25294.33,3389.86,25294.33
2026-02-03,STR-104,Online,1,4,70464.46,18124.86,70464.46
2026-02-03,STR-106,In-Store,2,7,119768.06,40568.47,59884.03
2026-02-03,STR-106,Online,1,2,13872.86,4377.52,13872.86
2026-02-03,STR-107,Mobile App,1,2,41864.96,8200.38,41864.96
2026-02-03,STR-107,Online,1,2,25181.26,6954.32,25181.26
2026-02-03,STR-109,Online,1,1,15761.79,2676.89,15761.79
2026-02-03,STR-111,Mobile App,1,1,14083.29,3023.37,14083.29
2026-02-03,STR-111,Online,1,1,2868.65,731.72,2868.65
2026-02-03,STR-112,In-Store,1,4,43874.46,4586.46,43874.46
2026-02-03,STR-112,Online,1,2,24159.82,6511.98,24159.82
2026-02-04,STR-100,Online,3,7,71526.0,19218.27,23842.0
2026-02-04,STR-103,In-Store,1,2,40572.79,11097.03,40572.79
2026-02-04,STR-104,Mobile App,1,5,63488.24,5382.34,63488.24
2026-02-04,STR-105,Mobile App,1,2,16862.89,2259.91,16862.89
2026-02-04,STR-106,In-Store,1,2,13317.8,4298.42,13317.8
2026-02-04,STR-106,Mobile App,1,4,82760.45,20732.65,82760.45
2026-02-04,STR-107,In-Store,1,5,41056.1,12695.7,41056.1
2026-02-04,STR-108,Mobile App,1,4,3557.73,830.49,3557.73
2026-02-04,STR-108,Online,1,4,7030.18,2441.22,7030.18
2026-02-04,STR-109,In-Store,1,5,67123.67,25980.32,67123.67
2026-02-04,STR-110,Online,1,1,1827.82,629.57,1827.82
2026-02-04,STR-111,Online,1,3,3335.37,1289.94,3335.37
