transaction_id,transaction_timestamp,store_id,customer_id,product_id,quantity,unit_price,discount_pct,total_amount,payment_method,sales_channel,api_ingestion_flag,sale_date,year,month,day_of_week,category,cost_price,net_unit_price,calculated_total,total_cost,gross_profit
TXN-100034,2026-06-08 18:15:00,STR-107,CUST-5149,PRD-1005,5,11505.07,0.15,48896.55,Credit Card,In-Store,,2026-06-08,2026,6,Monday,Clothing,7063.93,9779.3095,48896.55,35319.65,13576.9
TXN-100035,2026-03-07 18:00:00,STR-114,CUST-5119,PRD-1029,3,17201.59,0.15,43864.05,Debit Card,Mobile App,,2026-03-07,2026,3,Saturday,Electronics,11585.33,14621.351499999999,43864.05,34755.99,9108.06
TXN-100036,2026-04-24 13:37:00,STR-104,CUST-5163,PRD-1034,2,9660.26,0.0,19320.52,Net Banking,Mobile App,,2026-04-24,2026,4,Friday,Clothing,5672.08,9660.26,19320.52,11344.16,7976.36
TXN-100037,2026-02-20 14:54:00,STR-107,CUST-5027,PRD-1016,4,15423.32,0.1,55523.95,Credit Card,Online,,2026-02-20,2026,2,Friday,Electronics,9089.92,13880.988,55523.95,36359.68,19164.27
TXN-100038,2026-03-17 19:18:00,STR-100,CUST-5168,PRD-1036,3,22028.56,0.2,52868.54,Net Banking,Online,,2026-03-17,2026,3,Tuesday,Home & Kitchen,16329.4,17622.848,52868.54,48988.2,3880.34
TXN-100039,2026-06-05 19:31:00,STR-113,CUST-5073,PRD-1000,5,1111.79,0.0,5558.95,Credit Card,Mobile App,,2026-06-05,2026,6,Friday,Electronics,681.81,1111.79,5558.95,3409.05,2149.9
TXN-100040,2026-06-08 12:43:00,STR-112,CUST-5184,PRD-1022,2,6988.83,0.05,13278.78,Credit Card,Mobile App,,2026-06-08,2026,6,Monday,Clothing,4240.29,6639.3885,13278.78,8480.58,4798.2
TXN-100041,2026-04-23 08:37:00,STR-105,CUST-5187,PRD-1006,1,17604.11,0.1,15843.7,Credit Card,In-Store,,2026-04-23,2026,4,Thursday,Clothing,11059.92,15843.699,15843.7,11059.92,4783.78
TXN-100042,2026-02-14 11:08:00,STR-112,CUST-5138,PRD-1018,3,17272.73,0.15,44045.46,Debit Card,Mobile App,,2026-02-14,2026,2,Saturday,Clothing,12848.42,14681.8205,44045.46,38545.26,5500.2
TXN-100043,2026-03-07 21:30:00,STR-112,CUST-5075,PRD-1032,3,19167.84,0.05,54628.34,Debit Card,In-Store,,2026-03-07,2026,3,Saturday,Sports & Outdoors,12780.48,18209.448,54628.34,38341.44,16286.9
TXN-100044,2026-02-27 21:43:00,STR-111,CUST-5172,PRD-1029,1,17201.59,0.05,16341.51,Net Banking,Mobile App,,2026-02-27,2026,2,Friday,Electronics,11585.33,16341.510499999999,16341.51,11585.33,4756.18
TXN-100045,2026-01-04 12:34:00,STR-101,CUST-5116,PRD-1023,1,6936.43,0.15,5895.97,Debit Card,Mobile App,,2026-01-04,2026,1,Sunday,Sports & Outdoors,4747.67,5895.9655,5895.97,4747.67,1148.3
TXN-100046,2026-04-08 21:40:00,STR-105,CUST-5027,PRD-1047,3,13096.34,0.2,31431.22,Credit Card,Online,,2026-04-08,2026,4,Wednesday,Electronics,8041.8,10477.072,31431.22,24125.4,7305.82
TXN-100047,2026-03-25 17:14:00,STR-110,CUST-5016,PRD-1001,5,18543.28,0.2,74173.12,Net Banking,Mobile App,,2026-03-25,2026,3,Wednesday,Clothing,13084.9,14834.624,74173.12,65424.5,8748.62
TXN-100048,2026-02-05 08:02:00,STR-104,CUST-5126,PRD-1019,4,20633.99,0.0,82535.96,UPI,In-Store,,2026-02-05,2026,2,Thursday,Clothing,15169.3,20633.99,82535.96,60677.2,21858.76
TXN-100049,2026-04-10 15:23:00,STR-110,CUST-5190,PRD-1015,5,9568.8,0.05,45451.8,Cash,Online,,2026-04-10,2026,4,Friday,Clothing,5723.93,9090.359999999999,45451.8,28619.65,16832.15
TXN-100050,2026-06-17 09:53:00,STR-107,CUST-5157,PRD-1037,2,1918.22,0.15,3260.97,Net Banking,Online,,2026-06-17,2026,6,Wednesday,Clothing,1442.39,1630.487,3260.97,2884.78,376.19
TXN-100051,2026-04-24 15:15:00,STR-113,CUST-5092,PRD-1002,3,14966.66,0.05,42654.98,UPI,Mobile App,,2026-04-24,2026,4,Friday,Electronics,8341.07,14218.327,42654.98,25023.21,17631.77
TXN-100052,2026-01-16 14:17:00,STR-103,CUST-5031,PRD-1023,5,6936.43,0.1,31213.94,Net Banking,In-Store,,2026-01-16,2026,1,Friday,Sports & Outdoors,4747.67,6242.787,31213.94,23738.35,7475.59
TXN-100053,2026-01-06 08:50:00,STR-105,CUST-5062,PRD-1042,2,10274.71,0.2,16439.54,Credit Card,Mobile App,,2026-01-06,2026,1,Tuesday,Home & Kitchen,7238.41,8219.768,16439.54,14476.82,1962.72
TXN-100054,2026-02-23 17:13:00,STR-113,CUST-5059,PRD-1013,1,24637.91,0.2,19710.33,Debit Card,In-Store,,2026-02-23,2026,2,Monday,Home & Kitchen,18397.7,19710.328,19710.33,18397.7,1312.63
TXN-100055,2026-02-07 10:34:00,STR-104,CUST-5044,PRD-1038,1,18431.47,0.1,16588.32,UPI,Mobile App,,2026-02-07,2026,2,Saturday,Electronics,13596.63,16588.323,16588.32,13596.63,2991.69
TXN-100056,2026-04-02 20:50:00,STR-103,CUST-5150,PRD-1001,2,18543.28,0.0,37086.56,Debit Card,In-Store,,2026-04-02,2026,4,Thursday,Clothing,13084.9,18543.28,37086.56,26169.8,10916.76
TXN-100057,2026-02-02 19:26:00,STR-108,CUST-5029,PRD-1011,3,20820.24,0.0,62460.72,UPI,Online,,2026-02-02,2026,2,Monday,Home & Kitchen,14413.01,20820.24,62460.72,43239.03,19221.69
TXN-100058,2026-06-01 09:28:00,STR-108,CUST-5056,PRD-1028,3,6658.9,0.2,15981.36,Cash,In-Store,,2026-06-01,2026,6,Monday,Sports & Outdoors,4509.69,5327.12,15981.36,13529.07,2452.29
TXN-100059,2026-04-28 18:01:00,STR-100,CUST-5122,PRD-1046,5,2150.38,0.1,9676.71,Net Banking,Online,,2026-04-28,2026,4,Tuesday,Clothing,1198.25,1935.342,9676.71,5991.25,3685.46
TXN-100060,2026-04-24 09:57:00,STR-101,CUST-5082,PRD-1043,1,22540.44,0.15,19159.37,Cash,In-Store,,2026-04-24,2026,4,Friday,Beauty & Care,14737.88,19159.374,19159.37,14737.88,4421.49
TXN-100061,2026-06-09 18:37:00,STR-108,CUST-5182,PRD-1004,2,18042.2,0.1,32475.96,Debit Card,Online,,2026-06-09,2026,6,Tuesday,Clothing,12833.5,16237.980000000001,32475.96,25667.0,6808.96
TXN-100062,2026-04-27 16:38:00,STR-106,CUST-5025,PRD-1038,5,18431.47,0.1,82941.62,UPI,Mobile App,,2026-04-27,2026,4,Monday,Electronics,13596.63,16588.323,82941.62,67983.15,14958.47
TXN-100063,2026-04-21 15:56:00,STR-103,CUST-5105,PRD-1041,5,23258.31,0.05,110476.97,Debit Card,Online,,2026-04-21,2026,4,Tuesday,Clothing,16832.29,22095.3945,110476.97,84161.45,26315.52
TXN-100064,2026-03-22 14:20:00,STR-110,CUST-5065,PRD-1025,4,12590.63,0.0,50362.52,Debit Card,In-Store,,2026-03-22,2026,3,Sunday,Sports & Outdoors,9113.47,12590.63,50362.52,36453.88,13908.64
TXN-100065,2026-01-24 21:05:00,STR-101,CUST-5110,PRD-1043,4,22540.44,0.0,90161.76,UPI,Mobile App,,2026-01-24,2026,1,Saturday,Beauty & Care,14737.88,22540.44,90161.76,58951.52,31210.24
TXN-100066,2026-05-23 08:37:00,STR-108,CUST-5143,PRD-1047,3,13096.34,0.05,37324.57,Debit Card,Mobile App,,2026-05-23,2026,5,Saturday,Electronics,8041.8,12441.523,37324.57,24125.4,13199.17
TXN-100067,2026-06-20 20:27:00,STR-113,CUST-5184,PRD-1007,4,23951.68,0.1,86226.05,UPI,Online,,2026-06-20,2026,6,Saturday,Clothing,15027.69,21556.512000000002,86226.05,60110.76,26115.29
TXN-100068,2026-01-27 17:32:00,STR-103,CUST-5039,PRD-1038,3,18431.47,0.1,49764.97,Net Banking,In-Store,,2026-01-27,2026,1,Tuesday,Electronics,13596.63,16588.323,49764.97,40789.89,8975.08
TXN-100069,2026-04-05 09:48:00,STR-104,CUST-5146,PRD-1006,3,17604.11,0.2,42249.86,Credit Card,Online,,2026-04-05,2026,4,Sunday,Clothing,11059.92,14083.288,42249.86,33179.76,9070.1
TXN-100070,2026-06-22 18:35:00,STR-100,CUST-5155,PRD-1035,5,15173.74,0.2,60694.96,Debit Card,In-Store,,2026-06-22,2026,6,Monday,Electronics,10050.77,12138.992,60694.96,50253.85,10441.11
TXN-100071,2026-03-28 13:00:00,STR-102,CUST-5036,PRD-1011,3,20820.24,0.1,56214.65,Cash,Mobile App,,2026-03-28,2026,3,Saturday,Home & Kitchen,14413.01,18738.216,56214.65,43239.03,12975.62
TXN-100072,2026-06-12 08:05:00,STR-111,CUST-5135,PRD-1025,1,12590.63,0.05,11961.1,Credit Card,Online,,2026-06-12,2026,6,Friday,Sports & Outdoors,9113.47,11961.098499999998,11961.1,9113.47,2847.63
TXN-100073,2026-02-10 13:19:00,STR-111,CUST-5083,PRD-1026,4,15872.06,0.1,57139.42,Cash,Mobile App,,2026-02-10,2026,2,Tuesday,Clothing,11621.18,14284.854,57139.42,46484.72,10654.7
TXN-100074,2026-02-10 20:39:00,STR-100,CUST-5172,PRD-1005,1,11505.07,0.05,10929.82,UPI,Online,,2026-02-10,2026,2,Tuesday,Clothing,7063.93,10929.816499999999,10929.82,7063.93,3865.89
TXN-100075,2026-06-05 15:26:00,STR-104,CUST-5055,PRD-1028,4,6658.9,0.15,22640.26,Cash,In-Store,,2026-06-05,2026,6,Friday,Sports & Outdoors,4509.69,5660.065,22640.26,18038.76,4601.5
TXN-100076,2026-03-14 18:43:00,STR-109,CUST-5124,PRD-1022,4,6988.83,0.0,27955.32,Cash,Mobile App,,2026-03-14,2026,3,Saturday,Clothing,4240.29,6988.83,27955.32,16961.16,10994.16
TXN-100077,2026-04-12 17:03:00,STR-100,CUST-5052,PRD-1019,1,20633.99,0.05,19602.29,Debit Card,In-Store,,2026-04-12,2026,4,Sunday,Clothing,15169.3,19602.2905,19602.29,15169.3,4432.99
TXN-100078,2026-03-16 13:07:00,STR-100,CUST-5127,PRD-1049,2,12079.91,0.1,21743.84,Net Banking,In-Store,,2026-03-16,2026,3,Monday,Sports & Outdoors,8823.92,10871.919,21743.84,17647.84,4096.0
TXN-100079,2026-06-30 11:32:00,STR-108,CUST-5171,PRD-1008,4,2868.65,0.2,9179.68,Debit Card,In-Store,,2026-06-30,2026,6,Tuesday,Beauty & Care,2136.93,2294.92,9179.68,8547.72,631.96
TXN-100080,2026-01-05 15:58:00,STR-101,CUST-5080,PRD-1025,1,12590.63,0.15,10702.04,Cash,Online,,2026-01-05,2026,1,Monday,Sports & Outdoors,9113.47,10702.035499999998,10702.04,9113.47,1588.57
TXN-100081,2026-03-16 09:25:00,STR-100,CUST-5083,PRD-1036,4,22028.56,0.15,74897.1,Credit Card,Mobile App,,2026-03-16,2026,3,Monday,Home & Kitchen,16329.4,18724.276,74897.1,65317.6,9579.5
TXN-100082,2026-04-22 21:06:00,STR-103,CUST-5111,PRD-1029,3,17201.59,0.0,51604.77,Cash,Online,,2026-04-22,2026,4,Wednesday,Electronics,11585.33,17201.59,51604.77,34755.99,16848.78
TXN-100083,2026-03-21 19:21:00,STR-103,CUST-5085,PRD-1033,1,21120.74,0.15,17952.63,Credit Card,In-Store,,2026-03-21,2026,3,Saturday,Home & Kitchen,14082.52,17952.629,17952.63,14082.52,3870.11
TXN-100084,2026-05-11 11:57:00,STR-112,CUST-5089,PRD-1032,1,19167.84,0.2,15334.27,Debit Card,Mobile App,,2026-05-11,2026,5,Monday,Sports & Outdoors,12780.48,15334.272,15334.27,12780.48,2553.79
TXN-100085,2026-01-27 10:16:00,STR-103,CUST-5044,PRD-1041,2,23258.31,0.05,44190.79,Cash,In-Store,,2026-01-27,2026,1,Tuesday,Clothing,16832.29,22095.3945,44190.79,33664.58,10526.21
TXN-100086,2026-06-10 15:29:00,STR-112,CUST-5144,PRD-1048,1,13710.77,0.05,13025.23,Cash,Online,,2026-06-10,2026,6,Wednesday,Clothing,9822.0,13025.2315,13025.23,9822.0,3203.23
TXN-100087,2026-03-24 21:40:00,STR-105,CUST-5038,PRD-1043,5,22540.44,0.2,90161.76,Net Banking,In-Store,,2026-03-24,2026,3,Tuesday,Beauty & Care,14737.88,18032.352,90161.76,73689.4,16472.36
TXN-100088,2026-03-12 17:03:00,STR-105,CUST-5129,PRD-1030,4,3232.14,0.1,11635.7,UPI,Online,,2026-03-12,2026,3,Thursday,Home & Kitchen,2100.88,2908.926,11635.7,8403.52,3232.18
TXN-100089,2026-01-15 13:53:00,STR-104,CUST-5019,PRD-1029,4,17201.59,0.0,68806.36,UPI,Mobile App,,2026-01-15,2026,1,Thursday,Electronics,11585.33,17201.59,68806.36,46341.32,22465.04
TXN-100090,2026-04-29 17:35:00,STR-112,CUST-5189,PRD-1038,5,18431.47,0.15,78333.75,UPI,Online,,2026-04-29,2026,4,Wednesday,Electronics,13596.63,15666.7495,78333.75,67983.15,10350.6
TXN-100091,2026-06-04 15:32:00,STR-102,CUST-5015,PRD-1036,2,22028.56,0.1,39651.41,Net Banking,In-Store,,2026-06-04,2026,6,Thursday,Home & Kitchen,16329.4,19825.704,39651.41,32658.8,6992.61
TXN-100092,2026-06-15 10:02:00,STR-103,CUST-5181,PRD-1021,1,5708.56,0.2,4566.85,Net Banking,Online,,2026-06-15,2026,6,Monday,Home & Kitchen,3795.18,4566.848000000001,4566.85,3795.18,771.67
TXN-100093,2026-02-10 13:23:00,STR-114,CUST-5072,PRD-1033,5,21120.74,0.2,84482.96,Net Banking,Online,,2026-02-10,2026,2,Tuesday,Home & Kitchen,14082.52,16896.592,84482.96,70412.6,14070.36
TXN-100094,2026-01-14 20:40:00,STR-110,CUST-5085,PRD-1049,3,12079.91,0.2,28991.78,UPI,Online,,2026-01-14,2026,1,Wednesday,Sports & Outdoors,8823.92,9663.928,28991.78,26471.76,2520.02
TXN-100095,2026-03-14 12:46:00,STR-113,CUST-5168,PRD-1006,5,17604.11,0.15,74817.47,Cash,In-Store,,2026-03-14,2026,3,Saturday,Clothing,11059.92,14963.4935,74817.47,55299.6,19517.87
TXN-100096,2026-06-19 10:58:00,STR-105,CUST-5079,PRD-1021,1,5708.56,0.2,4566.85,Net Banking,In-Store,,2026-06-19,2026,6,Friday,Home & Kitchen,3795.18,4566.848000000001,4566.85,3795.18,771.67
TXN-100097,2026-05-24 14:41:00,STR-112,CUST-5084,PRD-1038,1,18431.47,0.1,16588.32,Credit Card,Mobile App,,2026-05-24,2026,5,Sunday,Electronics,13596.63,16588.323,16588.32,13596.63,2991.69
TXN-100098,2026-06-15 18:27:00,STR-108,CUST-5092,PRD-1044,5,2067.7,0.0,10338.5,UPI,Online,,2026-06-15,2026,6,Monday,Clothing,1147.24,2067.7,10338.5,5736.2,4602.3
TXN-100099,2026-03-29 20:31:00,STR-103,CUST-5057,PRD-1019,2,20633.99,0.05,39204.58,Credit Card,In-Store,,2026-03-29,2026,3,Sunday,Clothing,15169.3,19602.2905,39204.58,30338.6,8865.98
TXN-100100,2026-05-10 20:34:00,STR-113,CUST-5189,PRD-1004,3,18042.2,0.0,54126.6,Cash,In-Store,,2026-05-10,2026,5,Sunday,Clothing,12833.5,18042.2,54126.6,38500.5,15626.1
TXN-100101,2026-02-03 17:24:00,STR-102,CUST-5041,PRD-1042,3,10274.71,0.2,24659.3,Credit Card,Mobile App,,2026-02-03,2026,2,Tuesday,Home & Kitchen,7238.41,8219.768,24659.3,21715.23,2944.07
TXN-100102,2026-04-23 08:26:00,STR-105,CUST-5173,PRD-1049,5,12079.91,0.05,57379.57,Credit Card,Online,,2026-04-23,2026,4,Thursday,Sports & Outdoors,8823.92,11475.914499999999,57379.57,44119.6,13259.97
TXN-100103,2026-03-01 16:15:00,STR-104,CUST-5120,PRD-1039,3,3644.72,0.15,9294.04,Credit Card,Online,,2026-03-01,2026,3,Sunday,Clothing,2403.02,3098.0119999999997,9294.04,7209.06,2084.98
TXN-100104,2026-04-29 20:18:00,STR-112,CUST-5097,PRD-1043,5,22540.44,0.15,95796.87,Cash,Mobile App,,2026-04-29,2026,4,Wednesday,Beauty & Care,14737.88,19159.374,95796.87,73689.4,22107.47
TXN-100105,2026-06-04 10:55:00,STR-104,CUST-5013,PRD-1026,2,15872.06,0.05,30156.91,Net Banking,Online,,2026-06-04,2026,6,Thursday,Clothing,11621.18,15078.456999999999,30156.91,23242.36,6914.55
TXN-100106,2026-02-01 12:05:00,STR-112,CUST-5041,PRD-1035,1,15173.74,0.2,12138.99,Debit Card,Online,,2026-02-01,2026,2,Sunday,Electronics,10050.77,12138.992,12138.99,10050.77,2088.22
TXN-100107,2026-01-24 11:52:00,STR-107,CUST-5089,PRD-1032,2,19167.84,0.15,32585.33,UPI,Online,,2026-01-24,2026,1,Saturday,Sports & Outdoors,12780.48,16292.663999999999,32585.33,25560.96,7024.37
TXN-100108,2026-04-06 11:24:00,STR-101,CUST-5095,PRD-1003,4,6199.42,0.2,19838.14,Credit Card,In-Store,,2026-04-06,2026,4,Monday,Clothing,4268.08,4959.536,19838.14,17072.32,2765.82
TXN-100109,2026-02-07 10:02:00,STR-104,CUST-5120,PRD-1020,1,2120.69,0.1,1908.62,Credit Card,Mobile App,,2026-02-07,2026,2,Saturday,Home & Kitchen,1611.77,1908.621,1908.62,1611.77,296.85
TXN-100110,2026-01-02 09:01:00,STR-104,CUST-5055,PRD-1030,4,3232.14,0.2,10342.85,Credit Card,Mobile App,,2026-01-02,2026,1,Friday,Home & Kitchen,2100.88,2585.712,10342.85,8403.52,1939.33
TXN-100111,2026-04-19 09:49:00,STR-104,CUST-5060,PRD-1046,5,2150.38,0.2,8601.52,Debit Card,In-Store,,2026-04-19,2026,4,Sunday,Clothing,1198.25,1720.304,8601.52,5991.25,2610.27
TXN-100112,2026-06-13 20:39:00,STR-107,CUST-5016,PRD-1003,2,6199.42,0.15,10539.01,UPI,Online,,2026-06-13,2026,6,Saturday,Clothing,4268.08,5269.507,10539.01,8536.16,2002.85
TXN-100113,2026-06-11 16:36:00,STR-103,CUST-5183,PRD-1038,5,18431.47,0.0,92157.35,Credit Card,Online,,2026-06-11,2026,6,Thursday,Electronics,13596.63,18431.47,92157.35,67983.15,24174.2
TXN-100114,2026-04-01 11:36:00,STR-106,CUST-5047,PRD-1027,1,2055.49,0.2,1644.39,UPI,Mobile App,,2026-04-01,2026,4,Wednesday,Sports & Outdoors,1310.93,1644.3919999999998,1644.39,1310.93,333.46
TXN-100115,2026-05-20 16:50:00,STR-108,CUST-5141,PRD-1023,1,6936.43,0.2,5549.14,UPI,Online,,2026-05-20,2026,5,Wednesday,Sports & Outdoors,4747.67,5549.144,5549.14,4747.67,801.47
TXN-100116,2026-04-06 12:47:00,STR-100,CUST-5091,PRD-1030,1,3232.14,0.15,2747.32,UPI,Online,,2026-04-06,2026,4,Monday,Home & Kitchen,2100.88,2747.319,2747.32,2100.88,646.44
TXN-100117,2026-03-27 10:02:00,STR-105,CUST-5139,PRD-1015,1,9568.8,0.2,7655.04,Debit Card,Mobile App,,2026-03-27,2026,3,Friday,Clothing,5723.93,7655.04,7655.04,5723.93,1931.11
TXN-100118,2026-06-11 10:51:00,STR-102,CUST-5016,PRD-1011,4,20820.24,0.15,70788.82,Net Banking,In-Store,,2026-06-11,2026,6,Thursday,Home & Kitchen,14413.01,17697.204,70788.82,57652.04,13136.78
